City_ID,City,Country,Max Temp,Weather description,Lat,Lng,Hotel Name
44,Pauini,BR,71.33,overcast clouds,-7.7136,-66.9764,Casa do Kiwliks
46,Atuona,PF,78.31,light rain,-9.8,-139.0333,Villa Enata
48,Souillac,MU,79.36,heavy intensity rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
49,Padang,ID,78.85,broken clouds,-0.9492,100.3543,Mercure Padang
50,Mar Del Plata,AR,74.08,moderate rain,-38.0023,-57.5575,Gran Hotel Mar del Plata
52,San Policarpo,PH,80.33,overcast clouds,12.1791,125.5072,Agapita M. Nicart
53,Chuy,UY,71.06,moderate rain,-33.6971,-53.4616,Nuevo Hotel Plaza
55,Torit,SS,78.44,overcast clouds,4.4133,32.5678,Diplomat Guest House
59,Saldanha,ZA,63.01,clear sky,-33.0117,17.9442,Blue Bay Lodge
63,Cape Town,ZA,66.61,scattered clouds,-33.9258,18.4232,Southern Sun Waterfront Cape Town
64,Cidreira,BR,75.61,clear sky,-30.1811,-50.2056,Hotel Castelo
66,Bundaberg,AU,88.21,scattered clouds,-24.85,152.35,Takalvan Motel
67,Elumalai,IN,72.5,clear sky,9.8667,77.7,Sri Gokulam Grand Residency
68,Kapaa,US,78.78,clear sky,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
73,Kudahuvadhoo,MV,81.37,clear sky,2.6708,72.8944,Niyama Private Islands Maldives
74,Sao Gabriel Da Cachoeira,BR,72.9,overcast clouds,-0.1303,-67.0892,Alarne - Área De Lazer Do Alto Rio Negro
75,Saint-Philippe,RE,78.39,heavy intensity rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
76,Bac Lieu,VN,82.31,broken clouds,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
77,Mount Gambier,AU,66.11,scattered clouds,-37.8333,140.7667,The Commodore
78,Bambous Virieux,MU,79.21,heavy intensity rain,-20.3428,57.7575,Casa Tia Villa
80,Porto Santo,PT,66.31,scattered clouds,33.072,-16.3415,Hotel Porto Santo & Spa
83,Cabo San Lucas,MX,72.52,overcast clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
84,Comodoro Rivadavia,AR,73.26,clear sky,-45.8667,-67.5,Austral Hotel
87,Semporna,MY,86.2,broken clouds,4.4818,118.6112,"Han Palace Hotel, Semporna, Sabah."
90,Fort Myers,US,69.94,clear sky,26.6217,-81.8406,"Holiday Inn Express & Suites Ft Myers East- The Forum, an IHG Hotel"
91,Anloga,GH,80.26,few clouds,5.7947,0.8973,Pin Drop Hotel
92,Vila Franca Do Campo,PT,60.19,scattered clouds,37.7167,-25.4333,Pestana Bahia Praia
