City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
101,Cap-Aux-Meules,CA,2022-02-02 06:45:33,47.3821,-61.8597,12.22,79,92,4.61
102,Padang,ID,2022-02-02 06:48:22,-0.9492,100.3543,86.05,59,52,7.96
103,Port Alfred,ZA,2022-02-02 06:48:22,-33.5906,26.891,84.79,60,94,6.04
104,Leningradskiy,RU,2022-02-02 06:48:23,69.3833,178.4167,-14.06,97,55,9.19
105,Arman,RU,2022-02-02 06:43:27,59.7,150.1667,4.71,78,100,14.14
106,Hobart,AU,2022-02-02 06:44:56,-42.8794,147.3294,63.27,56,40,1.99
107,Guajara,BR,2022-02-02 06:48:24,-2.9667,-57.6667,72.41,99,26,2.35
108,Esperance,AU,2022-02-02 06:48:24,-33.8667,121.9,76.84,53,0,26.17
109,Saint-Paul,RE,2022-02-02 06:48:25,-21.0096,55.2707,86.09,85,100,10.65
110,Tonota,BW,2022-02-02 06:48:25,-21.4833,27.4833,78.06,56,0,11.48
111,Conceicao Do Araguaia,BR,2022-02-02 06:48:26,-8.2578,-49.2647,71.64,95,100,2.15
112,Cochabamba,BO,2022-02-02 06:48:26,-17.3895,-66.1568,55.15,100,100,3.44
113,Norman Wells,CA,2022-02-02 06:48:27,65.282,-126.8329,-32.76,68,75,4.61
114,Pierre,US,2022-02-02 06:48:27,44.3683,-100.351,11.05,70,0,7.0
115,Port Hedland,AU,2022-02-02 06:48:28,-20.3167,118.5667,86.05,79,100,12.66
116,Maniitsoq,GL,2022-02-02 06:48:29,65.4167,-52.9,6.96,81,100,4.36
117,Richards Bay,ZA,2022-02-02 06:48:29,-28.783,32.0377,84.27,60,33,13.38
118,Solwezi,ZM,2022-02-02 06:48:30,-12.1688,26.3894,64.87,96,100,3.0
119,Busselton,AU,2022-02-02 06:48:30,-33.65,115.3333,89.04,29,0,5.06
120,Iralaya,HN,2022-02-02 06:45:55,15.0,-83.2333,74.75,85,12,5.08
121,Gat,IL,2022-02-02 06:45:27,31.61,34.7642,62.78,41,0,2.1
122,Gifford,US,2022-02-02 06:48:32,27.6753,-80.4092,68.02,67,0,12.66
123,Longyearbyen,SJ,2022-02-02 06:48:32,78.2186,15.6401,19.24,79,75,11.5
124,Rondonopolis,BR,2022-02-02 06:46:32,-16.4708,-54.6356,69.67,97,99,3.83
125,Saint George,US,2022-02-02 06:48:20,37.1041,-113.5841,38.62,29,0,1.01
126,Tateyama,JP,2022-02-02 06:48:33,34.9833,139.8667,52.07,44,100,7.18
127,Dickinson,US,2022-02-02 06:48:34,29.4608,-95.0513,58.19,96,100,3.44
128,Lompoc,US,2022-02-02 06:45:16,34.6391,-120.4579,53.91,54,0,3.44
129,Dunedin,NZ,2022-02-02 06:48:35,-45.8742,170.5036,73.8,74,100,5.01
